crab,sat,y,weight,width,color,spine
1,8,1,3.05,28.3,2,3
2,0,0,1.55,22.5,3,3
3,9,1,2.3,26,1,1
4,0,0,2.1,24.8,3,3
5,4,1,2.6,26,3,3
6,0,0,2.1,23.8,2,3
7,0,0,2.35,26.5,1,1
8,0,0,1.9,24.7,3,2
9,0,0,1.95,23.7,2,1
10,0,0,2.15,25.6,3,3
11,0,0,2.15,24.3,3,3
12,0,0,2.65,25.8,2,3
13,11,1,3.05,28.2,2,3
14,0,0,1.85,21,4,2
15,14,1,2.3,26,2,1
16,8,1,2.95,27.1,1,1
17,1,1,2,25.2,2,3
18,1,1,3,29,2,3
19,0,0,2.2,24.7,4,3
20,5,1,2.7,27.4,2,3
21,4,1,1.95,23.2,2,2
22,3,1,2.3,25,1,2
23,1,1,1.6,22.5,2,1
24,2,1,2.6,26.7,3,3
25,3,1,2,25.8,4,3
26,0,0,1.3,26.2,4,3
27,3,1,3.15,28.7,2,3
28,5,1,2.7,26.8,2,1
29,0,0,2.6,27.5,4,3
30,0,0,2.1,24.9,2,3
31,4,1,3.2,29.3,1,1
32,0,0,2.6,25.8,1,3
33,0,0,2,25.7,2,2
34,8,1,2,25.7,2,1
35,5,1,2.7,26.7,2,1
36,0,0,1.85,23.7,4,3
37,0,0,2.65,26.8,2,3
38,6,1,3.15,27.5,2,3
39,0,0,1.9,23.4,4,3
40,6,1,2.8,27.9,2,3
41,3,1,3.1,27.5,3,3
42,5,1,2.8,26.1,1,1
43,6,1,2.5,27.7,1,1
44,5,1,3.3,30,2,1
45,9,1,3.25,28.5,3,1
46,4,1,2.8,28.9,3,3
47,6,1,2.6,28.2,2,3
48,4,1,2.1,25,2,3
49,3,1,3,28.5,2,3
50,3,1,3.6,30.3,2,1
51,5,1,2.1,24.7,4,3
52,5,1,2.9,27.7,2,3
53,6,1,2.7,27.4,1,1
54,4,1,1.6,22.9,2,3
55,5,1,2,25.7,2,1
56,15,1,3,28.3,2,3
57,3,1,2.7,27.2,2,3
58,3,1,2.3,26.2,3,3
59,0,0,2.75,27.8,2,1
60,0,0,2.25,25.5,4,3
61,0,0,2.55,27.1,3,3
62,5,1,2.05,24.5,3,3
63,3,1,2.45,27,3,1
64,5,1,2.15,26,2,3
65,1,1,2.8,28,2,3
66,8,1,3.05,30,2,3
67,10,1,3.2,29,2,3
68,0,0,2.4,26.2,2,3
69,0,0,1.3,26.5,2,1
70,3,1,2.4,26.2,2,3
71,7,1,2.8,25.6,3,3
72,1,1,1.65,23,3,3
73,0,0,1.8,23,3,3
74,6,1,2.25,25.4,2,3
75,0,0,1.9,24.2,3,3
76,0,0,1.6,22.9,2,2
77,3,1,2.2,26,3,2
78,4,1,2.25,25.4,2,3
79,0,0,1.2,25.7,3,3
80,5,1,2.1,25.1,2,3
81,0,0,2.25,24.5,3,2
82,0,0,2.9,27.5,4,3
83,0,0,1.65,23.1,3,3
84,4,1,2.55,25.9,3,1
85,0,0,2.3,25.8,2,3
86,3,1,2.25,27,4,3
87,0,0,3.05,28.5,2,3
88,0,0,2.75,25.5,4,1
89,0,0,1.9,23.5,4,3
90,0,0,1.7,24,2,2
91,5,1,3.85,29.7,2,1
92,0,0,2.55,26.8,2,1
93,0,0,2.45,26.7,4,3
94,0,0,3.2,28.7,2,1
95,0,0,1.55,23.1,3,3
96,1,1,2.8,29,2,1
97,0,0,2.25,25.5,3,3
98,1,1,1.967,26.5,3,3
99,1,1,2.2,24.5,3,3
100,1,1,3,28.5,3,3
101,1,1,2.867,28.2,2,3
102,1,1,1.6,24.5,2,3
103,1,1,2.55,27.5,2,3
104,4,1,2.55,24.7,2,2
105,1,1,2,25.2,2,1
106,1,1,2.9,27.3,3,3
107,1,1,2.4,26.3,2,3
108,1,1,3.1,29,2,3
109,2,1,1.9,25.3,2,3
110,4,1,2.3,26.5,2,3
111,3,1,3.25,27.8,2,3
112,6,1,2.5,27,2,3
113,0,0,2.1,25.7,3,3
114,2,1,2.1,25,2,3
115,2,1,3.325,31.9,2,3
116,0,0,1.8,23.7,4,3
117,12,1,3.225,29.3,4,3
118,0,0,1.4,22,3,3
119,5,1,2.4,25,2,3
120,6,1,2.5,27,3,3
121,6,1,1.8,23.8,3,3
122,2,1,3.275,30.2,1,1
123,0,0,2.225,26.2,3,3
124,2,1,1.65,24.2,2,3
125,3,1,2.9,27.4,2,3
126,0,0,2.3,25.4,2,2
127,3,1,3.2,28.4,3,3
128,4,1,1.475,22.5,4,3
129,2,1,2.025,26.2,2,3
130,6,1,2.3,24.9,2,1
131,6,1,1.95,24.5,1,2
132,0,0,1.8,25.1,2,3
133,4,1,2.9,28,2,1
134,10,1,2.25,25.8,4,3
135,7,1,3.05,27.9,2,3
136,0,0,2.2,24.9,2,3
137,5,1,3.1,28.4,2,1
138,5,1,2.4,27.2,3,3
139,6,1,2.25,25,2,2
140,6,1,2.625,27.5,2,3
141,7,1,5.2,33.5,2,1
142,3,1,3.325,30.5,2,3
143,3,1,2.925,29,3,3
144,0,0,2,24.3,2,1
145,0,0,2.4,25.8,2,3
146,8,1,2.1,25,4,3
147,4,1,3.725,31.7,2,1
148,4,1,3.025,29.5,2,3
149,10,1,1.9,24,3,3
150,9,1,3,30,2,3
151,4,1,2.85,27.6,2,3
152,0,0,2.3,26.2,2,3
153,0,0,2,23.1,2,1
154,0,0,1.6,22.9,2,1
155,0,0,1.9,24.5,4,3
156,4,1,1.95,24.7,2,3
157,0,0,3.2,28.3,2,3
158,2,1,1.85,23.9,2,3
159,0,0,1.8,23.8,3,3
160,4,1,3.5,29.8,3,2
161,4,1,2.35,26.5,2,3
162,3,1,2.275,26,2,3
163,8,1,3.05,28.2,2,3
164,0,0,2.15,25.7,4,3
165,7,1,2.75,26.5,2,3
166,0,0,2.2,25.8,2,3
167,0,0,1.8,24.1,3,3
168,2,1,2.175,26.2,3,3
169,3,1,2.75,26.1,3,3
170,4,1,3.275,29,3,3
171,0,0,2.625,28,1,1
172,0,0,2.625,27,4,3
173,0,0,2,24.5,2,2
