action_type,combined_shot_type,game_event_id,game_id,lat,loc_x,loc_y,lon,minutes_remaining,period,playoffs,season,seconds_remaining,shot_distance,shot_made_flag,shot_type,shot_zone_area,shot_zone_basic,shot_zone_range,team_id,team_name,game_date,matchup,opponent,shot_id
Jump Shot,Jump Shot,10,20000012,33.9723,167,72,-118.1028,10,1,0,Jan-00,27,18,,2PT Field Goal,Right Side(R),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,2000-10-31,LAL @ POR,POR,1
Jump Shot,Jump Shot,12,20000012,34.0443,-157,0,-118.4268,10,1,0,Jan-00,22,15,0,2PT Field Goal,Left Side(L),Mid-Range,8-16 ft.,1610612747,Los Angeles Lakers,2000-10-31,LAL @ POR,POR,2
Jump Shot,Jump Shot,35,20000012,33.9093,-101,135,-118.3708,7,1,0,Jan-00,45,16,1,2PT Field Goal,Left Side Center(LC),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,2000-10-31,LAL @ POR,POR,3
Jump Shot,Jump Shot,43,20000012,33.8693,138,175,-118.1318,6,1,0,Jan-00,52,22,0,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,2000-10-31,LAL @ POR,POR,4
Driving Dunk Shot,Dunk,155,20000012,34.0443,0,0,-118.2698,6,2,0,Jan-00,19,0,1,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,2000-10-31,LAL @ POR,POR,5
Jump Shot,Jump Shot,244,20000012,34.0553,-145,-11,-118.4148,9,3,0,Jan-00,32,14,0,2PT Field Goal,Left Side(L),Mid-Range,8-16 ft.,1610612747,Los Angeles Lakers,2000-10-31,LAL @ POR,POR,6
Layup Shot,Layup,251,20000012,34.0443,0,0,-118.2698,8,3,0,Jan-00,52,0,1,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,2000-10-31,LAL @ POR,POR,7
Jump Shot,Jump Shot,254,20000012,34.0163,1,28,-118.2688,8,3,0,Jan-00,5,2,,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,2000-10-31,LAL @ POR,POR,8
Jump Shot,Jump Shot,265,20000012,33.9363,-65,108,-118.3348,6,3,0,Jan-00,12,12,1,2PT Field Goal,Left Side(L),In The Paint (Non-RA),8-16 ft.,1610612747,Los Angeles Lakers,2000-10-31,LAL @ POR,POR,9
Running Jump Shot,Jump Shot,294,20000012,33.9193,-33,125,-118.3028,3,3,0,Jan-00,36,12,0,2PT Field Goal,Center(C),In The Paint (Non-RA),8-16 ft.,1610612747,Los Angeles Lakers,2000-10-31,LAL @ POR,POR,10
Jump Shot,Jump Shot,309,20000012,33.8063,-94,238,-118.3638,1,3,0,Jan-00,56,25,0,3PT Field Goal,Left Side Center(LC),Above the Break 3,24+ ft.,1610612747,Los Angeles Lakers,2000-10-31,LAL @ POR,POR,11
Jump Shot,Jump Shot,4,20000019,33.9173,121,127,-118.1488,11,1,0,Jan-00,0,17,1,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,2000-11-01,LAL vs. UTA,UTA,12
Running Jump Shot,Jump Shot,27,20000019,33.9343,-67,110,-118.3368,7,1,0,Jan-00,9,12,1,2PT Field Goal,Left Side(L),In The Paint (Non-RA),8-16 ft.,1610612747,Los Angeles Lakers,2000-11-01,LAL vs. UTA,UTA,13
Jump Shot,Jump Shot,66,20000019,34.0403,-94,4,-118.3638,2,1,0,Jan-00,44,9,0,2PT Field Goal,Left Side(L),Mid-Range,8-16 ft.,1610612747,Los Angeles Lakers,2000-11-01,LAL vs. UTA,UTA,14
Jump Shot,Jump Shot,80,20000019,33.9973,-23,47,-118.2928,1,1,0,Jan-00,16,5,0,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,1610612747,Los Angeles Lakers,2000-11-01,LAL vs. UTA,UTA,15
Jump Shot,Jump Shot,86,20000019,33.8523,62,192,-118.2078,0,1,0,Jan-00,48,20,0,2PT Field Goal,Center(C),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,2000-11-01,LAL vs. UTA,UTA,16
Driving Layup Shot,Layup,100,20000019,34.0443,0,0,-118.2698,0,1,0,Jan-00,1,0,,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,2000-11-01,LAL vs. UTA,UTA,17
Jump Shot,Jump Shot,138,20000019,33.8183,-117,226,-118.3868,8,2,0,Jan-00,50,25,1,3PT Field Goal,Left Side Center(LC),Above the Break 3,24+ ft.,1610612747,Los Angeles Lakers,2000-11-01,LAL vs. UTA,UTA,18
Jump Shot,Jump Shot,244,20000019,33.9473,-132,97,-118.4018,11,3,0,Jan-00,29,16,0,2PT Field Goal,Left Side Center(LC),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,2000-11-01,LAL vs. UTA,UTA,19
Driving Layup Shot,Layup,249,20000019,34.0443,0,0,-118.2698,10,3,0,Jan-00,46,0,,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,2000-11-01,LAL vs. UTA,UTA,20
Jump Shot,Jump Shot,255,20000019,33.9003,3,144,-118.2668,10,3,0,Jan-00,8,14,0,2PT Field Goal,Center(C),Mid-Range,8-16 ft.,1610612747,Los Angeles Lakers,2000-11-01,LAL vs. UTA,UTA,21
Jump Shot,Jump Shot,265,20000019,33.9173,134,127,-118.1358,9,3,0,Jan-00,4,18,0,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,2000-11-01,LAL vs. UTA,UTA,22
Running Jump Shot,Jump Shot,274,20000019,33.9343,-16,110,-118.2858,7,3,0,Jan-00,57,11,1,2PT Field Goal,Center(C),In The Paint (Non-RA),8-16 ft.,1610612747,Los Angeles Lakers,2000-11-01,LAL vs. UTA,UTA,23
Running Jump Shot,Jump Shot,299,20000019,33.8943,-109,150,-118.3788,5,3,0,Jan-00,47,18,1,2PT Field Goal,Left Side Center(LC),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,2000-11-01,LAL vs. UTA,UTA,24
Running Jump Shot,Jump Shot,307,20000019,33.9813,-46,63,-118.3158,5,3,0,Jan-00,11,7,1,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,1610612747,Los Angeles Lakers,2000-11-01,LAL vs. UTA,UTA,25
